,Date,BTC Pct Change,ETH Pct Change,XRP Pct Change,DOGE Pct Change,VET Pct Change,TUSD Pct Change,XVG Pct Change,AE Pct Change,STRAT Pct Change,LRC Pct Change,AOA Pct Change,QNT Pct Change,WAN Pct Change,ELA Pct Change,KCS Pct Change
0,2019-02-11,-0.011795757603712877,-0.030340231925291224,-0.014930680152697053,0.023803591819786085,-0.0038226299694190673,-0.009803921568627416,-0.008928571428571286,-0.006203168513855162,-0.01842555680346181,0.0010042214494263568,0.03214285714285703,-0.08064516129032251,-0.005855122131277922,0.05633802816901424,0.033864541832669286
1,2019-02-10,0.005949991517758546,0.04319686177102855,-0.0055809195510490035,0.008172535818216975,0.03453568687643882,0.00990099009900991,0.029529529529529475,0.01791285096105466,-0.0032351930514635807,0.02712393408512459,-0.04445035932925212,0.162907268170426,-0.0056375354262043756,0.04888888888888876,0.02914327597407995
2,2019-02-09,0.0018533377772744766,0.0010236331990176595,-0.004431292090087857,0.01049995474157428,-0.009396636993076135,-0.009803921568627416,-0.006643979906012065,0.01697909933204067,-0.017162444820154273,-0.013330439343787859,0.17339832869080785,-0.08620689655172398,-0.0067931198679058715,-0.03389830508474578,0.008203775193359242
3,2019-02-08,0.0790101217365351,0.14860118463845273,0.06989408780370576,-0.02008499795965069,-0.009985022466300621,0.0,-0.012724306688417621,-0.022049787752721373,0.01707406264925959,0.010192483959669874,-0.0421364985163204,-0.02358490566037752,0.00954713206636093,0.008771929824561429,-0.01345913026725598
4,2019-02-07,-0.0043665496992135715,-0.00348702118794475,0.007248111913229716,-0.01912548880199083,-0.06858295511850733,0.0,-0.0674157303370787,-0.07526182847908812,-0.08078684595111862,-0.059775705004899475,-0.06468401486988863,-0.28743961352657,-0.07003805970659183,-0.08260869565217388,-0.053656962142047286
5,2019-02-06,-0.015464410321437859,-0.02300051231588552,-0.007037840489767411,-0.03802862113241934,-0.015430427720628082,0.0,-0.006732813607370658,-0.007224186831087388,-0.018085881996072528,-0.009399366942021148,0.04451510333863285,-0.2033898305084746,0.03824054548527167,-0.004739336492890933,0.005694862013521984
6,2019-02-05,0.0009640527576990633,-0.0009407173964286477,-0.02517366137292609,0.06484964935225701,0.040967830629639934,0.0,0.024794862647163685,0.02639177318511443,0.041914958769284194,0.04989771066731618,0.09893455098934534,-0.025531914893617055,-0.06995580435021076,0.014285714285714237,0.008925670707727207
7,2019-02-04,0.0008785825134276504,-0.00029981943317247683,-0.009142361329988248,0.018317091908940156,0.010829371368198615,0.0,0.02349869451697129,-0.0012172228924461905,0.019155319339850152,0.02308577367034093,-0.2678901200369345,-0.048034934497816484,0.036482686988513764,-0.004694835680751018,0.021407790300256968
8,2019-02-03,-0.01540628477757888,-0.027024020072687338,-0.030917052183114687,-0.0016230543202031544,0.009668147373922187,0.0,-0.008673469387755041,0.0071795344000171735,0.005915476064396685,0.02296390350081623,0.04209364653949232,-0.013761467889908395,-0.003362380976852486,0.0,-0.004502100334892178
9,2019-02-02,0.007883715277166248,0.02593093950638848,0.014196072456308384,-0.027487633299361103,0.02277432712215321,0.0,0.036541430777148776,0.01128544347194782,0.054636116512736255,0.010408539612738466,0.2537065052950078,0.03720930232558151,0.01567161430518227,0.03301886792452824,0.034196249246488016
10,2019-02-01,0.008047424962881244,0.004717417561540094,-0.009489598313636828,0.007473826271879647,-0.006072874493927238,0.00990099009900991,-0.012909632571996177,-0.013807791710538921,-0.0636817954932255,0.013372409315058896,-0.03282249306142149,0.04484304932735439,0.001867532137871164,-0.022831050228310446,-0.02507178524326392
11,2019-01-31,-0.008042396161068166,-0.012115230566462576,-0.03485358392356541,0.023264900191802163,-0.004837067209775947,-0.009803921568627416,-0.0055331991951709245,-0.008735531775496684,-0.019742597328859524,-0.046774612520564585,-0.04791016843418594,-0.01716738197424894,-0.0038801216157522407,-0.004672897196261738,-0.02870036946525345
12,2019-01-30,0.011423173766130112,0.0313763564371341,0.11455456214652647,0.019314400757699742,0.03300076745970837,0.0,0.044511886697015564,0.028072208214677152,0.09889136417245448,0.0793183634910255,0.007862665443585382,-0.06986899563318782,0.052146013197290834,0.014084507042253724,0.04554944119816184
13,2019-01-29,-0.00672256484935907,-0.021977869499147595,-0.020240584202703586,-0.03361095165354788,-0.0326894502228825,0.0,-0.021468926553672385,-0.006452722366262932,-0.031059048563973683,0.005992257195758244,-0.014952541932128471,-0.03286384976525813,-0.006420107819131826,-0.0092592592592593,-0.028171612434142342
14,2019-01-28,-0.03306044943261477,-0.053672059142650164,-0.05773295185611471,0.04915705591269015,0.007168458781361853,0.0,0.0042890135268889296,-0.01585446063146223,0.029798687784531763,-0.004618010239935799,0.013067581837381326,-0.09708737864077666,0.024372610358011748,0.0046728971962615145,0.045213196580814685
15,2019-01-27,-0.0044410270483202785,-0.025261359266179232,-0.014345409056544687,0.024624065561814627,0.05871886120996427,0.0,0.05847568988173446,0.058438202642409065,0.08468671532427985,0.14985711884350314,0.1383713355048859,0.053763440860215006,0.07117796357121531,0.06976744186046502,0.08048129056382057
16,2019-01-26,-0.00018292405693820515,0.001888599921855194,-0.0012842835520536775,0.021405224167158288,0.050900360144057855,0.0,0.028398510242085617,0.052271942942597516,0.06318044141028277,0.06711497697536739,-0.1664186791804968,-0.11734693877551015,0.07469693274076694,0.0,0.00855780473274792
