,Date,BTC Pct Change,ETH Pct Change,XRP Pct Change,WAN Pct Change,ELA Pct Change,KCS Pct Change
149,2018-09-15,True,True,True,False,False,True
150,2018-09-14,False,True,False,False,True,False
151,2018-09-13,True,True,True,True,False,True
152,2018-09-12,True,False,True,False,False,False
153,2018-09-11,False,False,False,False,False,True
154,2018-09-10,True,True,False,True,True,True
155,2018-09-09,True,False,False,True,False,True
156,2018-09-08,False,False,False,False,True,False
157,2018-09-07,False,False,False,True,True,True
158,2018-09-06,False,True,True,True,True,True
159,2018-09-05,False,False,False,False,False,True
160,2018-09-04,True,False,False,True,True,True
161,2018-09-03,False,False,False,False,False,False
162,2018-09-02,True,False,False,True,True,False
163,2018-09-01,True,True,True,True,True,False
164,2018-08-31,True,False,True,False,False,False
165,2018-08-30,False,False,False,False,False,False
166,2018-08-29,False,False,False,True,True,True
167,2018-08-28,True,True,True,True,True,True
168,2018-08-27,True,True,True,False,False,False
169,2018-08-26,False,False,False,False,True,False
170,2018-08-25,True,False,True,False,True,True
171,2018-08-24,True,True,True,False,False,False
172,2018-08-23,True,True,True,False,False,True
173,2018-08-22,False,False,False,False,False,False
174,2018-08-21,True,True,True,True,True,True
175,2018-08-20,False,False,False,False,False,True
176,2018-08-19,True,True,True,True,True,True
177,2018-08-18,False,False,False,False,False,False
178,2018-08-17,True,True,True,True,True,True
179,2018-08-16,True,True,True,False,False,False
180,2018-08-15,True,True,True,False,False,True
181,2018-08-14,False,False,False,True,False,True
182,2018-08-13,False,False,False,True,True,True
183,2018-08-12,True,False,False,True,True,True
184,2018-08-11,True,False,False,True,False,True
185,2018-08-10,False,False,False,True,True,True
186,2018-08-09,True,True,True,True,True,True
187,2018-08-08,False,False,False,False,False,False
188,2018-08-07,False,False,False,True,True,True
189,2018-08-06,False,False,False,False,False,True
190,2018-08-05,True,True,True,False,True,True
191,2018-08-04,False,False,False,False,False,True
192,2018-08-03,False,True,True,True,True,True
193,2018-08-02,False,False,False,False,True,False
194,2018-08-01,False,False,True,True,True,True
195,2018-07-31,False,False,False,True,True,False
196,2018-07-30,False,False,False,True,True,True
197,2018-07-29,True,False,False,True,True,True
198,2018-07-28,True,False,True,True,True,True
199,2018-07-27,True,True,True,True,True,False
200,2018-07-26,False,False,False,False,False,False
201,2018-07-25,False,False,True,True,True,True
202,2018-07-24,True,True,True,False,False,False
203,2018-07-23,True,False,False,True,False,False
204,2018-07-22,True,False,False,True,True,True
205,2018-07-21,True,True,True,True,True,True
206,2018-07-20,False,False,False,False,False,False
207,2018-07-19,True,False,False,True,True,True
208,2018-07-18,True,False,False,True,True,False
209,2018-07-17,True,True,True,True,True,True
210,2018-07-16,True,True,True,False,False,False
211,2018-07-15,True,True,True,False,False,False
212,2018-07-14,True,True,True,False,False,True
213,2018-07-13,True,True,True,False,False,True
214,2018-07-12,False,False,False,False,False,True
215,2018-07-11,True,True,True,True,True,True
216,2018-07-10,False,False,False,False,True,False
217,2018-07-09,False,False,False,True,True,False
218,2018-07-08,False,True,False,True,True,False
219,2018-07-07,True,True,True,False,True,False
